procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12769940  11408  98544    0    0     0     0    3   22  0  0 100  0  0
 0  0      0 12769940  11408  98544    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769940  11408  98544    0    0     0     0    3   24  0  0 100  0  0
 0  0      0 12769908  11416  98548    0    0     0    20    7   39  0  0 100  0  0
 0  0      0 12769908  11416  98548    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12769908  11416  98548    0    0     0     0    3   26  0  0 100  0  0
 0  0      0 12769908  11416  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11416  98548    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11416  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11424  98540    0    0     0    12    5   32  0  0 100  0  0
 0  0      0 12769908  11424  98540    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11424  98540    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11424  98540    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11424  98540    0    0     0     0    2   20  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12769908  11424  98548    0    0     0    20    4   30  0  0 100  0  0
 0  0      0 12769908  11432  98540    0    0     0     4    5   31  0  0 100  0  0
 0  0      0 12769908  11432  98540    0    0     0     0    3   26  0  0 100  0  0
 0  0      0 12769908  11432  98540    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11432  98540    0    0     0     0    2   18  0  0 100  0  0
 0  0      0 12769908  11432  98540    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11440  98548    0    0     0    12    5   32  0  0 100  0  0
 0  0      0 12769908  11440  98548    0    0     0     0    2   25  0  0 100  0  0
 0  0      0 12769908  11440  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11440  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11440  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11440  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11448  98540    0    0     0    12    5   30  0  0 100  0  0
 0  0      0 12769908  11448  98540    0    0     0     0    3   24  0  0 100  0  0
 0  0      0 12769908  11448  98540    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11448  98540    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12769908  11448  98540    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11448  98540    0    0     0     0    2   25  0  0 100  0  0
 0  0      0 12769908  11456  98532    0    0     0    12    5   30  0  0 100  0  0
 0  0      0 12769908  11456  98532    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11456  98532    0    0     0     8    2   22  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12769908  11456  98532    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11456  98532    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11456  98548    0    0     0     0    3   27  0  0 100  0  0
 0  0      0 12769908  11464  98548    0    0     0    20    6   32  0  0 100  0  0
 0  0      0 12769908  11464  98548    0    0     0     0    2   26  0  0 100  0  0
 0  0      0 12769908  11464  98548    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11464  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11464  98548    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11464  98548    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12769908  11472  98548    0    0     0    12    6   35  0  0 100  0  0
 0  0      0 12769908  11472  98548    0    0     0     0    2   18  0  0 100  0  0
 0  0      0 12769908  11472  98548    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11472  98548    0    0     0     0    3   22  0  0 100  0  0
 0  0      0 12769908  11472  98548    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11472  98548    0    0     0     0    3   24  0  0 100  0  0
 0  0      0 12769908  11480  98540    0    0     0    12    5   32  0  0 100  0  0
 0  0      0 12769908  11480  98540    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11480  98540    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12769908  11480  98540    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11480  98540    0    0     0     8    3   26  0  0 100  0  0
 0  0      0 12769908  11480  98552    0    0     0     0    5   27  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12769908  11488  98552    0    0     0    12    5   32  0  0 100  0  0
 0  0      0 12769908  11488  98552    0    0     0     0    3   34  0  0 100  0  0
 0  0      0 12769908  11488  98552    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769908  11488  98552    0    0     0     0    2   25  0  0 100  0  0
 0  0      0 12769908  11488  98552    0    0     0     0  246  538  0  0 100  0  0
 0  0      0 12769908  11488  98552    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769908  11496  98552    0    0     0    12    6   37  0  0 100  0  0
 0  0      0 12769908  11496  98552    0    0     0     0    2   21  0  0 100  0  0
 1  0      0 12769908  11496  98552    0    0     0     0 2847 5762  0  1 99  0  0
 0  0      0 12769908  11496  98552    0    0     0     0 1524 3097  0  0 99  0  0
